Name,Lat,Lon
Boston,42.3604823,-71.0595678
Worcester,42.2625932,-71.8022934
Springfield,42.1014831,-72.589811
Lowell,42.6334247,-71.3161718
Cambridge,42.3750997,-71.1056157
New Bedford,41.6362152,-70.934205
Brockton,42.0834335,-71.0183787
Quincy,42.2528772,-71.0022705
Lynn,42.466763,-70.9494939
Fall River,41.7010642,-71.1546367
Newton,42.3370414,-71.2092214
Lawrence,42.7070354,-71.1631137
Somerville,42.3875968,-71.0994968
Framingham,42.2792625,-71.416172
Haverhill,42.7777829,-71.0767724
Waltham,42.3756401,-71.2358004
Malden,42.4250964,-71.066163
Brookline,42.3317642,-71.1211635
Plymouth,41.9584367,-70.6672577
Medford,42.4184296,-71.1061639
Taunton,41.900101,-71.0897675
Chicopee,42.1487043,-72.6078672
Weymouth,42.2212188,-70.9391625
Revere,42.4084302,-71.0119948
Peabody,42.5278731,-70.9286609

,Boston,Worcester,Springfield,Lowell,Cambridge,New Bedford,Brockton,Quincy,Lynn,Fall River,Newton,Lawrence,Somerville,Framingham,Haverhill,Waltham,Malden,Brookline,Plymouth,Medford,Taunton,Chicopee,Weymouth,Revere,Peabody
Newton,850.6227478373777,2475.769852845724,5284.242246936326,2066.9099164951995,693.4442350420607,3917.2638068364613,1921.146159416358,1418.644480204569,1666.1452796935287,3585.619140165595,0.0,2460.735394256947,842.3568173115302,1081.975772732801,2948.1661657378354,377.6568479493925,1111.5461612361528,545.9813190671676,3492.1195474759547,927.2734165138668,2742.4238533956723,5299.274372948309,1824.9100365512832,1156.2968566414886,2074.620164854994
Lawrence,1924.9926784995482,3249.644054880182,6686.721305489004,1001.4923022592747,1936.9556370558798,5632.99354498504,3636.875897564936,2687.0686495480586,2178.5261141625233,5301.348878314175,2466.4700529151314,0.0,1814.3825004572177,3096.3039694283343,715.2249813749546,2332.553549524048,1710.2323944159637,2250.480673157909,4772.144890654609,1552.8585142637678,4458.153591544252,6701.753431500987,3093.334205894772,2028.7096078872337,1889.969401697616
Somerville,312.7648750869417,2988.161496646291,5796.633890736894,1921.612685920406,186.87448548566522,4052.8978162537524,2056.7801688336485,1106.9729208167705,1056.2663488332028,3721.2531495828853,853.8541982935519,1812.843861967868,0.0,1594.3674165333691,2300.2746334487565,808.4876203086651,403.2295953868156,539.7579533496989,3192.0491619233208,287.16450914786435,2878.057862812963,5811.666016748877,1513.2384771634843,546.4179257811625,1473.667161027635
Framingham,1614.1361881569956,1844.7512215943098,4658.824192273691,2523.4519099742656,1445.0500520649753,4533.602023828724,2540.5353011876823,2249.1096546450663,2429.590941551609,4201.957357157857,1088.0862610948461,3134.835653294139,1593.9626343344453,0.0,3622.266424775027,1094.5513016482391,1863.1519782590674,1440.8982036175548,4180.6737210066785,1713.6001580530826,3115.553050702567,4673.856318285674,2543.2704748842043,1919.7425184995682,2838.0658267130743
Haverhill,2477.4333780428997,3802.084754423534,7239.162005032355,1553.9330018026267,2489.3963365992313,6185.434244528391,4189.316597108287,3239.50934909141,2280.086493316634,5853.789577857526,3018.910752458483,736.2962422367245,2366.8232000005696,3648.744668971686,0.0,2884.9942490673993,2262.673093959316,2802.921372701261,5324.585590197959,2105.2992138071195,5010.594291087602,7254.194131044338,3645.774905438124,2429.7945053409376,1877.054757106208
Waltham,933.687499017326,2460.773658465051,5269.246052555653,1708.9851501145267,696.4747209472837,4193.128251939486,2197.0106045193834,1559.612503835067,1729.789398785565,3861.48358526862,377.50379994939254,2320.3688934344,820.6388032497202,1066.979578352128,2807.7996649152888,0.0,1021.1052109655514,716.2532720053578,3644.6887449416167,795.9652402870397,3018.2882984986973,5284.278178567636,1965.8780601817807,1219.9409757335247,2065.2678643735044
Malden,508.86449083174045,3305.2581286548257,6113.730522745427,1942.3376689691422,518.2410121463136,4241.103084965583,2244.98543754548,1295.1781895286024,774.9453421604192,3909.4584182947174,1155.4029421813889,1678.7500193031817,453.9292538003985,1911.4640485419036,2166.1807907840703,1021.7850327567603,0.0,814.6511063692228,3380.2544306351524,241.79140353002555,3066.2631315247945,6128.76264875741,1701.443745875316,339.4824676798073,1137.2900673218844
Brookline,430.228352606661,2837.434298330846,5645.9066924214485,2279.3420876049604,411.7250433717836,3789.757234224021,1793.6395868039176,948.076392490336,1303.6477965946806,3458.112567553155,541.1952369011831,2228.6875703007745,554.8226056412532,1443.6402182179236,2716.118341781663,723.296168608604,819.0733037197218,0.0,3052.8241063771065,746.8592015576935,2614.917280783232,5660.938818433431,1354.3419488370503,793.7993735426401,1712.1226817561458
Plymouth,2878.798014609358,4940.000951140333,7748.473345230936,5008.329548134267,3101.5215612645898,2510.4638478512898,2255.1352385908485,2245.218614784852,3762.522735344628,2667.570194096592,3476.192478398384,4744.741898468305,3189.086684567026,4201.160592467006,5232.172669949194,3573.924729468442,3328.172780183956,3017.8018943226643,0.0,3262.913529725224,1801.148190380458,7763.505471242918,2049.4623011732956,3272.8506950618194,4191.174003275325
Medford,395.22984260428836,3134.8666793174843,5943.339073408088,1797.0458950632633,407.19280116061987,4103.23070908978,2107.1130616696764,1157.3058136527984,979.0763262846158,3771.586042418914,958.0802863055858,1533.4582453973026,284.6196645619576,1741.0725992045618,2020.889016878191,824.462376880957,225.13623833273385,720.7178372626502,3242.3820547593486,0.0,2928.390755648991,5958.37119942007,1563.5713699995122,513.2339689468608,1330.5259077574597
